# This file is generated on 12-Dec-2021 at 19:53:16 and contains for each site, each satellite, frequency:
# att_scin_cdf_val = cdf value of attenuation due to scintillation (dB); att_scin_cdf_prob = cdf probability of attenuation due to scintillation (%).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to scintillation results are sorted acording to the site identification number:
#    _ 1 = Graz (Lat = 4.7090e+01 deg, Lon = 1.5460e+01 deg, Alt = 4.6800e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), att_scin_cdf_val (dB), att_scin_cdf_prob (%)
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.3000e-01
1, 7, 7.5000e+01, 0.0000e+00, 2.1000e-01
1, 7, 7.5000e+01, 0.0000e+00, 3.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e-01
1, 7, 7.5000e+01, 0.0000e+00, 9.5000e-01
1, 7, 7.5000e+01, 0.0000e+00, 1.7000e+00
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+00
1, 7, 7.5000e+01, 0.0000e+00, 5.1000e+00
1, 7, 7.5000e+01, 0.0000e+00, 8.3000e+00
1, 7, 7.5000e+01, 0.0000e+00, 1.2000e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.9000e+01
1, 7, 7.5000e+01, 0.0000e+00, 3.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 4.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 5.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 6.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 7.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 8.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.0000e+01
1, 7, 7.5000e+01, 0.0000e+00, 9.9990e+01
1, 7, 7.5000e+01, 0.0000e+00, 1.0000e-02
1, 7, 7.5000e+01, 0.0000e+00, 1.6000e-02
1, 7, 7.5000e+01, 0.0000e+00, 2.7000e-02
1, 7, 7.5000e+01, 0.0000e+00, 4.5000e-02
1, 7, 7.5000e+01, 0.0000e+00, 7.7000e-02
